id,for,if,var,while,int,list,def,str
140153357,8,4,0,4,2,2,2,2
170162354,10,4,1,6,4,4,2,2
180100246,6,4,1,2,2,2,0,0
180136801,8,2,1,6,4,4,2,2
180147064,2,0,0,2,0,2,0,0
190031697,4,2,1,4,2,4,2,0
190086106,10,4,1,4,4,2,2,2
190088656,12,6,1,6,4,4,2,2
190089971,4,2,1,2,0,2,0,0
211061340,8,4,1,2,2,2,2,2
211061430,10,4,1,4,4,2,2,2
211061458,10,4,1,4,4,2,2,2
211061467,10,4,1,4,4,2,2,2
211061510,2,2,1,2,2,2,2,0
211061538,10,4,1,4,4,4,2,0
211061986,4,2,1,2,0,4,2,0
211062007,4,2,1,2,0,4,2,0
211062016,12,6,1,4,4,4,2,0
211062043,8,4,1,4,2,4,2,2
211062188,6,4,1,2,4,2,2,0
211062203,10,4,1,4,4,2,2,2
211062230,12,6,1,6,4,4,2,2
211062240,6,4,1,6,4,4,2,2
211062259,10,4,1,6,4,4,2,2
211062295,4,2,1,2,0,4,2,0
211062320,12,6,1,0,0,2,2,0
211062526,12,6,1,6,4,4,2,2
211062535,8,2,1,4,4,2,2,2
211062571,12,6,1,4,4,2,2,2
211062606,4,2,0,0,0,2,2,0
211062615,10,4,1,4,4,2,2,2
211062624,4,2,1,2,0,4,2,0
211062689,10,4,1,4,4,2,2,2
211062698,4,2,1,2,0,4,2,0
211062722,4,2,1,2,2,4,2,0
211062750,10,4,1,4,4,2,2,2
211062769,8,2,1,0,2,2,2,0
211062778,12,6,1,4,4,2,2,2
211062796,8,6,1,0,2,2,2,0
211062820,10,4,1,4,4,2,2,2
211062876,10,4,1,4,4,2,2,2
211062885,8,2,0,4,4,2,2,2
211062974,10,4,1,4,4,2,2,2
211063004,6,2,1,2,0,2,0,0
211063149,6,4,1,0,2,2,2,0
211063158,4,2,0,2,2,4,2,0
211063185,4,2,1,2,0,4,2,0
211063194,6,4,1,2,0,4,2,0
