id,fib,fatorial,fizzbuzz,maior_digito,maior,mais_frequente,pares,primos,tamanho,zeros
140153357,0,0,1,1,1,1,0,1,0,1
170162354,1,1,0,1,1,1,1,1,1,1
180011618,0,0,1,1,0,0,1,0,0,0
180100246,1,1,1,0,0,0,1,0,1,0
180136801,1,1,0,1,0,1,1,1,1,1
180147064,1,0,0,0,0,0,1,0,0,0
190031697,1,1,0,1,0,1,1,0,0,0
190086106,1,1,0,1,1,1,0,1,1,1
190088656,1,1,1,1,1,1,1,1,1,1
190089971,1,1,0,0,0,0,1,0,0,0
211061340,0,1,0,0,1,1,0,1,1,1
211061430,1,1,0,1,1,1,0,1,1,1
211061458,1,1,0,1,1,1,0,1,1,1
211061467,1,1,0,1,1,1,0,1,1,1
211061510,0,1,0,1,0,1,0,0,0,0
211061538,1,1,1,1,0,1,1,1,1,0
211061986,1,1,0,0,0,1,1,0,0,0
211062007,1,1,0,0,0,1,1,0,0,0
211062016,1,1,1,1,1,1,1,1,1,0
211062043,0,1,0,0,1,1,1,1,1,1
211062188,1,1,1,1,0,1,0,0,1,0
211062203,1,1,0,1,1,1,0,1,1,1
211062230,1,1,1,1,1,1,1,1,1,1
211062240,1,1,0,1,1,1,1,0,1,1
211062259,1,1,0,1,1,1,1,1,1,1
211062295,1,1,0,0,0,1,1,0,0,0
211062320,1,1,1,0,1,1,0,1,0,0
211062384,0,0,0,1,0,0,0,0,0,1
211062526,1,1,1,1,1,1,1,1,1,1
211062535,1,1,0,1,0,1,0,1,1,1
211062571,1,1,1,1,1,1,0,1,1,1
211062606,1,0,1,0,0,1,0,0,0,0
211062615,1,1,0,1,1,1,0,1,1,1
211062624,1,1,0,0,0,1,1,0,0,0
211062689,1,1,0,1,1,1,0,1,1,1
211062698,1,1,0,0,0,1,1,0,0,0
211062722,1,1,0,0,0,1,1,0,1,0
211062750,1,1,0,1,1,1,0,1,1,1
211062769,1,1,0,0,0,1,0,1,1,0
211062778,1,1,1,1,1,1,0,1,1,1
211062787,0,0,0,0,0,0,0,0,0,0
211062796,1,1,1,0,1,1,0,0,1,0
211062820,1,1,0,1,1,1,0,1,1,1
211062876,1,1,0,1,1,1,0,1,1,1
211062885,1,0,0,1,1,1,0,1,1,1
211062974,1,1,0,1,1,1,0,1,1,1
211063004,0,1,0,0,0,0,1,1,0,0
211063149,1,1,1,0,0,1,0,0,1,0
211063158,1,0,1,0,0,1,1,0,1,0
211063185,1,1,0,0,0,1,1,0,0,0
211063194,1,1,1,0,0,1,1,0,0,0
