id,print,num,for,reduce,while,list,seq,seq-gen,if,loops,dict,str,recur,algo,lib,bool,func
140153357,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
170162354,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
180011618,,,2.0,,4.0,1.0,1.0,2.0,,3.0,3.0,2.0,,,,,
180100246,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,,,
180136801,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0
180147064,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
190031697,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
190086106,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
190088656,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,,,
190089971,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,6.0,3.0,2.0,4.0,5.0,2.0,2.0,3.0
211061340,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
211061430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211061458,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
211061467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211061510,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,3.0,,,
211061538,1.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
211061986,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
211062007,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
211062016,1.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
211062043,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
211062188,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
211062230,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
211062240,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
211062259,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
211062295,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
211062320,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
211062384,,,2.0,,4.0,1.0,1.0,2.0,,3.0,3.0,2.0,,,,,
211062526,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
211062535,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
211062615,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
211062624,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
211062689,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
211062698,1.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
