id,def,algo,num,scanf,print,str,printf,str-parse,while,if,for-c,seq,list,conv-c
140153357,0,4,0,7,0,4,6,2,3,1,5,3,3,5
170162354,1,8,5,9,2,4,7,2,3,1,11,3,3,5
180011618,0,3,0,2,0,0,3,0,0,0,8,3,3,0
180100246,1,8,5,9,2,4,7,2,3,1,11,3,3,5
180147064,1,8,5,9,2,4,7,2,3,1,11,3,3,5
190031697,1,8,5,9,2,4,7,2,3,1,11,3,3,5
190086106,1,8,5,7,2,0,6,0,0,1,11,3,3,5
190088656,1,8,5,9,2,4,7,2,3,1,11,3,3,5
190089971,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211061340,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211061458,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211061510,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211061538,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211061986,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062007,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062016,1,5,5,5,2,0,4,0,0,1,6,0,0,5
211062188,1,8,5,7,2,0,6,0,0,1,11,3,3,5
211062230,1,8,5,7,2,0,6,0,0,1,11,3,3,5
211062259,1,8,5,7,2,0,6,0,0,1,11,3,3,5
211062295,0,1,2,3,0,0,4,0,0,1,6,0,0,5
211062320,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062384,1,8,5,7,2,0,6,0,0,1,11,3,3,5
211062526,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062606,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062615,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062624,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062689,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062698,1,5,5,7,2,4,5,2,3,1,6,0,0,5
211062722,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062750,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062769,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062787,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062796,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211062876,1,5,5,5,2,0,4,0,0,1,6,0,0,5
211063149,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211063158,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211063185,1,8,5,9,2,4,7,2,3,1,11,3,3,5
211063194,1,8,5,9,2,4,7,2,3,1,11,3,3,5
