id,final-arte,final-prog,final-arch,final-compl
140153357,0,0,0,0
170162354,0,0,0,0
180100246,0,0,0,0
180136801,0,0,0,0
180147064,0,0,0,0
190031697,0,0,0,0
190086106,0,0,0,0
190088656,0,0,0,0
190089971,0,0,0,0
211061340,0,0,0,0
211061430,0,0,0,0
211061458,0,0,0,0
211061467,0,0,0,0
211061510,0,0,0,0
211061538,0,0,0,0
211061986,0,0,0,0
211062007,0,0,0,0
211062016,0,0,0,0
211062043,0,0,0,0
211062188,0,0,0,0
211062203,0,0,0,0
211062230,0,0,0,0
211062240,0,0,0,0
211062259,0,0,0,0
211062295,0,0,0,0
211062320,0,0,0,0
211062526,0,0,0,0
211062535,0,0,0,0
211062571,0,0,0,0
211062606,0,0,0,0
211062615,0,0,0,0
211062624,0,0,0,0
211062689,0,0,0,0
211062698,0,0,0,0
211062722,0,0,0,0
211062750,0,0,0,0
211062769,0,0,0,0
211062778,0,0,0,0
211062796,0,0,0,0
211062820,0,0,0,0
211062876,0,0,0,0
211062885,0,0,0,0
211062974,0,0,0,0
211063004,0,0,0,0
211063149,0,0,0,0
211063158,0,0,0,0
211063185,0,0,0,0
211063194,0,0,0,0
